keywords,labels,weight,distance,range,Notes?,,
authority authorities government sec && on && alert && collapse bailout bail bankruptcy insolvency,authorities-action,-300,12,10,,,
authority authorities government sec && preparing preparations preparation prepared expect expects expecting && collapse bailout bail bankruptcy insolvency,authorities-action,-300,12,10,,,
diversity-inclusion,authorities-action,-300,25,5,,labels,how many lines?
banking bank need needs needing billion bln billions plan plans planning taxpayer taxpayers state government governmental ministry senate senator senators eu systemic inevitable commission europe european ecb afm authority authorities sec approve approves approved approving ahead economy economic treasury && rescue rescuing,authorities-action,-300,25,5,,authorities-action,13
bankrupt bankruptcy failliet failliete faillit faillissementsbescherming && by && court,authorities-action,-400,25,6,,bad-workplace-conditions,2
cost costs costing costly incurred incurring duped dupes duping price damage toll loss losses expense expense exorbitant damages detriment detrimental milliarden euro billions billion bln millions millionen must && taxpayer taxpayers,authorities-action,-250,25,5,,budgeting-issues,2
government state ministry minister && took take takes taking assume assumes assuming && control,authorities-action,-400,22,5,,business-forecasting,3
ministry minister government governmental ministry senate senator senators eu systemic && issues && burden capital recapitalization recapitalisation && measures,authorities-action,-350,25,5,,capital-raise,5
senator senate && call calls calling called && for,authorities-action,-150,25,6,,"capital-raise 
 
 strategy-changes 
 
 financial-mergers-and-acquisitions",1
to about && nationalise nationalize,authorities-action,-400,7,5,,chapters,4
new more faces facing && legal,authorities-action,-70,25,2,,civil-lawsuits,13
withdraw withdraws withdrawing && regulator regulatory,authorities-action,-130,25,4,,civil-unrest,13
government && intervention intervenes,authorities-action,-70,25,6,,closing-down,30
poor bad terrible horrible horrid miserable appalling mediocre horrific horrifying disgusting hideous embarrassing crummy abysmal disappointing awful horrendous dreadful crappy shitty atrocious lousy worst tough unfortunate wretched ghastly depressing deplorable dismal sickening shameful frightening unpleasant disastrous idiotic && working workplace labor labour && condition conditions environment,bad-workplace-conditions,-160,25,8,,"closing-down
 
 cutting-costs",2
criticism && on of && working && conditions,bad-workplace-conditions,-160,25,8,,competitive-risk,
budget budgeting budgets balance && deficit issues,budgeting-issues,-150,25,6,,contract-disputes,3
overspending overspends overspended,budgeting-issues,-150,15,6,,corporate-investigation,39
sales && outlook outlooks forecast forecasts future,business-forecasting,-50,25,2,,"corporate-investigation 
 
 sanctions-general",1
worse && than && expected expectation expectations projected forecasted projections forecasts imagined good,business-forecasting,-70,25,6,,cost-issues,10
miserable ominous weak gloomy lowers lower lowering lowered && outlook outlooks forecast forecasts future,business-forecasting,-70,25,6,,criminal-law,20
